time(sec) , VMT_Front_Suspension/bush_lca_front:L/FX(N) , VMT_Front_Suspension/bush_lca_front:L/FY(N) , VMT_Front_Suspension/bush_lca_front:L/FZ(N) , VMT_Front_Suspension/bush_lca_front:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TZ(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/FX(N) , VMT_Front_Suspension/bush_lca_rear:L/FY(N) , VMT_Front_Suspension/bush_lca_rear:L/FZ(N) , VMT_Front_Suspension/bush_lca_rear:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TZ(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/FX(N) , VMT_Front_Suspension/bush_lwr_strut:L/FY(N) , VMT_Front_Suspension/bush_lwr_strut:L/FZ(N) , VMT_Front_Suspension/bush_lwr_strut:L/TX(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TY(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TZ(N*mm) , VMT_Front_Suspension/ball_lca_balljoint:L/FX(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FY(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FZ(N) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Global(rad/sec^2)
0 , 0.00146404697505837 , 0.00673279756218585 , -0.00380247472818233 , 0.000447003498382044 , -0.00400738963550568 , -0.00594348836354552 , 0.000813725259585886 , -0.00100222003750112 , 0.0013370120871063 , 0.000447003498382018 , -0.00400738963550573 , -0.0059434883635457 , -0.000451120915575366 , -0.00047958908793301 , -0.000602468157770371 , 0.000125368764120535 , 0.00116172982718128 , 0.00160597137040449 , -479.090462981652 , -325.979630912061 , -736.531646375931 , -1237.78353400474 , -591.235745936007 , -293.158198986893 , 0.0106989287165755 , 0.0111727950837416 , 0.00712914685678363 , 295.216465998073 , -591.235745935967 , 126.841801010818 , -8.32667268468867E-17 , 4.16333634234434E-17 , -5.55111512312578E-17 , 1.58172806991278E-32 , -9.05398138726259E-05 , 8.22590614366033E-15 , -3.23539423539977E-07 , -8.63491815481472E-14 , 4.89517778366837E-13 , -8333.33333 , -4.9307082383263E-11 , 0 , 2.07082133301316E-15 , -8.63385827008558E-14 , 4.89499412633288E-13 , 277967.105658528 , 190430.389568913 , 405218.184664898 , -6791.80813669147 , 127.358832240128 , 2156.31796934686 , 279943.00082874 , 190479.547876966 , 420561.306081132 , -6791.54212086237 , 113.717399515758 , 2156.4340257784
0.01007 , -124.963594240136 , 3548.33545356975 , 2625.21096230506 , 43847.2375998176 , -7874.34804274575 , 14022.4822893016 , -282.600371619063 , 2414.87326407708 , 2294.64766612122 , 43847.2375998177 , -7874.34804274579 , 14022.4822893017 , 589.440850585282 , 1027.78163416046 , 9542.148289595 , -453.002924455903 , 735.651971839269 , -58.4640833536117 , -853.110685418504 , 4830.02799473551 , -4664.29481474709 , -1235.76120549232 , -593.600939368321 , -276.947007186451 , 0.0106235913188292 , 0.0115821849067829 , 0.00715763685477983 , 214.551727402683 , -593.33944962807 , 142.787301735021 , -0.0990181917238479 , 0.0114231032891804 , 0.00157159728696422 , -347.963330091999 , -259.898319730401 , 2195.55630283339 , -13.4370939632222 , 1.95583871350283 , -1.40156153789605 , -8478.0883335967 , -236.287980012634 , 2250.15646148961 , -13.4402850280712 , 1.91410156480421 , -1.38892707299103 , -85461.8979940278 , 64300.2870658912 , 3805.2364540904 , 90.3077634640569 , 0.301480106443134 , -117.235880464546 , -83965.1228382125 , 63579.3424048073 , 9488.64300990008 , 85.1736138526977 , 5.90476678321289 , -112.453921456187
0.02027 , 1382.54129756192 , -2304.85017157074 , 2228.80736475249 , 33736.4870138115 , -2950.98790951846 , -5574.35083421637 , 1924.3717367107 , 2367.08253432916 , 2867.58760343795 , 33736.4870138114 , -2950.98790951864 , -5574.35083421634 , 757.187581316211 , -63.2664036945621 , 11374.2046799785 , -1613.25365499099 , -3477.19742417913 , 110.525372090723 , 2326.82243383723 , 100.955839666316 , -6111.60213096847 , -1240.21677677035 , -593.060154086306 , -258.1376605392 , 0.0109816480158529 , 0.0114352528173753 , 0.0071103876686811 , 126.462906897216 , -592.688747350204 , 162.903751213314 , -0.21164360516925 , 0.0254710823206731 , -0.00990831115401992 , 28.6543520726325 , 158.597040019307 , 1396.0058956085 , -7.50321456289081 , 0.754035973259698 , 0.76901345391202 , -8250.60615310467 , 190.643397210585 , 1525.03551792922 , -7.57271859016951 , 0.8371033072495 , 0.748156212404083 , 136757.553395079 , -9437.92642812773 , -118834.900711123 , 815.148799919198 , -150.096173730861 , 310.865517939685 , 127639.543619801 , -7645.87181988683 , -111055.504306472 , 807.940209594749 , -137.031607163878 , 307.862193534451
0.03027 , 526.475518383446 , -1188.49829274559 , 2579.81413449607 , 19666.1006455273 , -3722.6075153427 , 8192.0650879965 , 714.469740535594 , 333.210939034599 , 2728.59745890867 , 19666.1006455273 , -3722.60751534265 , 8192.06508799653 , 605.367754058888 , -623.131685890146 , 11880.1760486662 , -1822.18182180081 , -3024.94848612168 , -68.8195163148976 , 735.850156568395 , -231.618377380662 , -6452.45840724765 , -1238.67816741458 , -592.245540971529 , -250.636158270793 , 0.0120195671101288 , 0.0100407148236284 , 0.00728788000094322 , 44.8073918379586 , -591.541845164568 , 174.378383215752 , -0.25770366830345 , 0.032365567144425 , -0.00696866753617423 , -201.926602490892 , -12.5638645831645 , 633.482251300546 , -1.80967392065222 , 0.321865656917326 , -0.556930545762117 , -8466.67876063579 , 28.4771408879331 , 829.44000564909 , -1.9484800894414 , 0.517716246109749 , -0.564878573220925 , -59052.5218397007 , -16946.7223377163 , -81572.0703587973 , 614.888625893844 , -61.5241370969722 , -87.7493544364881 , -60863.7245397758 , -17647.1538228997 , -75206.0358666169 , 608.844604280806 , -49.0990106295292 , -87.3510119857799
0.04027 , -36.954547710408 , 420.888422517854 , 2231.62580590226 , 2751.85721937856 , 293.321874055394 , -3749.5173470366 , -105.178904424683 , -139.110711284454 , 2074.98839691964 , 2751.85721937861 , 293.321874055436 , -3749.51734703659 , 505.035622570267 , -335.746185812103 , 9239.96663175929 , -1775.39924635715 , -3333.16175518367 , -32.6734379918327 , -617.23302304243 , 518.855981383332 , -4872.48077479461 , -1239.12954188726 , -592.64596193566 , -252.728449727315 , 0.0135758303760864 , 0.00743942681893004 , 0.00741105780426912 , -39.150616556318 , -591.810656126879 , 178.670407224158 , -0.246210156313791 , 0.0333442921211635 , -0.00736343499128712 , 20.0585728867872 , -56.3399331268128 , -157.62132910805 , 3.93420957961691 , -0.540636808837156 , 0.421856077558284 , -8263.41826760554 , -18.9679205461409 , 89.7582813680004 , 3.77115670098061 , -0.221923087642386 , 0.395933725351794 , -20188.801923371 , 47834.2119942429 , -61472.1781603048 , 419.137253359294 , -34.3577810204265 , -98.7445197743452 , -18752.7414900254 , 47383.9238844941 , -57744.0420154983 , 420.360168805575 , -23.2733896262047 , -100.599820747618
0.05027 , 390.347930961185 , 539.138731878748 , 1566.05125354709 , -12037.9503844623 , 1254.62248481986 , 1552.61339702785 , 534.93807379823 , 1716.43217499128 , 1734.69384259816 , -12037.9503844624 , 1254.62248481996 , 1552.61339702786 , 380.626308176084 , 129.051051005191 , 6242.33366146497 , -1324.36047982872 , -2532.14841742907 , 148.263042964115 , 524.74593483974 , 2101.76679127177 , -2878.05898015087 , -1238.92204335115 , -593.288290859694 , -262.669701974846 , 0.0150451560142089 , 0.00374527196621423 , 0.0075865497516329 , -122.784911373182 , -592.307070342031 , 176.797741389002 , -0.187785732217237 , 0.0299101070026369 , -0.00544738010511078 , -126.481513624858 , -86.7466417680583 , -730.154609182967 , 7.85025025875221 , -0.96727187056187 , 0.162824263504624 , -8407.46846746139 , -61.3536032978347 , -459.598382850961 , 7.72304468939291 , -0.5625290549224 , 0.0859706915801173 , 11123.1906079421 , 8845.22206749978 , -49786.1707995332 , 307.505905129662 , -44.5449280189 , 50.5793975859781 , 10498.8859648344 , 7222.29686060128 , -49306.127658406 , 313.692261620507 , -38.9560985521079 , 46.8840284976153
0.06027 , 394.011906114697 , 446.465625104852 , 989.36036398265 , -20802.5365423406 , 2212.53937388412 , 2138.58810058512 , 557.742793697159 , 1781.62101163881 , 1208.03591871353 , -20802.5365423406 , 2212.53937388418 , 2138.58810058507 , 245.553077974618 , 402.098524893505 , 3754.18973223817 , -689.354256742212 , -1458.38089702693 , 207.988254630721 , 731.067527489863 , 1801.93545856117 , -1598.23444148475 , -1238.60737828166 , -593.191268854594 , -277.4894140577 , 0.0159315505976519 , -0.000487959053673194 , 0.00787972580755634 , -206.613631268733 , -591.940730329746 , 170.439838536429 , -0.100187119911523 , 0.0234091108244408 , -0.00307622126406052 , -137.5796995464 , 135.354703119741 , -970.107452923722 , 9.1344648901157 , -1.11169388587502 , 0.145077606998382 , -8421.55137210981 , 140.503886413897 , -708.046285210773 , 9.0840401896293 , -0.688997020487029 , 0.0098203697940803 , -14054.7551576498 , 18333.8755404747 , 15189.936557911 , -122.601784358254 , 20.1162410744723 , -33.5578907578043 , -13944.0501825165 , 16448.8655196968 , 13214.8928786553 , -113.797508027439 , 19.7969127138347 , -33.7827529012058
0.07027 , 708.767667731616 , -344.729413431168 , 726.73773515326 , -11701.5671887171 , 1234.09506635224 , 1377.87699678003 , 1019.63202736734 , 2215.9061059592 , 1131.15819412265 , -11701.5671887172 , 1234.09506635225 , 1377.8769967799 , 246.381096455188 , 553.941231973794 , 3165.22592400168 , -234.669411685318 , -972.769433473037 , 199.163421769625 , 1456.29510249732 , 1323.89834475375 , -1484.83820936322 , -1238.83430632115 , -591.955987767975 , -289.586616846328 , 0.0159381190056346 , -0.00470860657097528 , 0.00833678752668921 , -291.196738601082 , -590.144356337107 , 166.067971804548 , -0.0280495434339565 , 0.0188523970810692 , -0.00315260683474297 , -143.569343298326 , 196.849074558455 , -268.83266817293 , 4.51867167142385 , -0.561469389560043 , 0.191380677415417 , -8438.85770334055 , 198.222658199707 , -40.0523970370655 , 4.55935586849129 , -0.15420780672583 , 0.0664063650747914 , 17895.8479122139 , -2201.73641218997 , 97907.0883527852 , -627.405036087797 , 66.7308025708805 , 40.9385595871481 , 16981.4294609034 , -1036.30924810802 , 93681.275243948 , -619.265638974789 , 65.1155932478783 , 48.70208008424
0.08027 , -168.889171673926 , 1196.90953524294 , 1231.03052996653 , 4985.93035953813 , -147.597050411482 , -2373.69256446536 , -289.008791870328 , 214.851550475251 , 1011.91928635754 , 4985.93035953808 , -147.597050411518 , -2373.69256446541 , 366.971461348034 , 878.303682322059 , 4673.8489992356 , -110.021543377239 , -518.871667428414 , 105.465423001035 , -820.261239737148 , 563.378352710428 , -2570.84504875866 , -1238.15017954111 , -591.567669687459 , -291.898940834447 , 0.0153113611766924 , -0.008651161952756 , 0.00894048421819214 , -374.906746306825 , -588.750202734449 , 170.40783648149 , -0.0137614431056552 , 0.0208377243367784 , -0.0017336259050715 , -69.388985044567 , 42.4318274172856 , 674.390335656443 , -1.5374066647382 , 0.164248460279505 , 0.0941444547727013 , -8341.76845668129 , 58.6195567993057 , 873.619794352946 , -1.47296457780904 , 0.54138180818013 , 0.0667267652958828 , -5399.33783615561 , -17540.3922492714 , 73435.7897188117 , -475.571587732077 , 63.7728898860463 , -44.751534211854 , -1011.7492398917 , -16354.932825504 , 72237.4641253753 , -479.080378633074 , 59.5366116339648 , -33.909123804835
0.0902700000000001 , 101.046379570101 , 1240.71547652159 , 1751.42251265378 , 10864.3900370109 , -1429.52805399443 , 1029.03263125087 , 89.8168210090489 , 1141.60966022635 , 1649.68108009302 , 10864.390037011 , -1429.5280539944 , 1029.03263125082 , 538.302737037794 , 1168.00021326697 , 7078.83285439818 , -251.545311937734 , -418.621669781363 , 87.7223960931914 , -342.184421457864 , 1211.39885810316 , -3680.61821570334 , -1237.95396276786 , -592.319748995135 , -287.410426495251 , 0.0149142643005155 , -0.0121908494744727 , 0.00941435029247257 , -458.548323392111 , -588.622827854154 , 181.064891667935 , -0.0409547815299824 , 0.0277945374542327 , -0.00264688336981998 , -146.256167136874 , -21.4294359332787 , 925.370823432761 , -3.06395781308658 , 0.392552344545321 , -0.180198604506475 , -8387.27039237989 , -2.15887885208663 , 1129.79302067482 , -3.06016405315357 , 0.740098247614471 , -0.148269883363254 , -3756.8088934715 , 2342.83071567065 , -9497.95007016614 , 77.6961514698377 , -8.64029921085774 , -0.745178288676751 , -3019.82645709629 , 1785.45156871812 , -8105.27504539589 , 71.5528663856578 , -10.414565344732 , -1.09149662765808
