time(sec) , VMT_Front_Suspension/bush_lca_front:L/FX(N) , VMT_Front_Suspension/bush_lca_front:L/FY(N) , VMT_Front_Suspension/bush_lca_front:L/FZ(N) , VMT_Front_Suspension/bush_lca_front:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_front:L/TZ(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/FX(N) , VMT_Front_Suspension/bush_lca_rear:L/FY(N) , VMT_Front_Suspension/bush_lca_rear:L/FZ(N) , VMT_Front_Suspension/bush_lca_rear:L/TX(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TY(N*mm) , VMT_Front_Suspension/bush_lca_rear:L/TZ(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/FX(N) , VMT_Front_Suspension/bush_lwr_strut:L/FY(N) , VMT_Front_Suspension/bush_lwr_strut:L/FZ(N) , VMT_Front_Suspension/bush_lwr_strut:L/TX(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TY(N*mm) , VMT_Front_Suspension/bush_lwr_strut:L/TZ(N*mm) , VMT_Front_Suspension/ball_lca_balljoint:L/FX(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FY(N) , VMT_Front_Suspension/ball_lca_balljoint:L/FZ(N) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Vehicle(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Vehicle(rad) , VMT_Front_Suspension/lower_control_arm:L/Displacement/X_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Y_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Displacement/Z_RF_Global(mm) , VMT_Front_Suspension/lower_control_arm:L/Angle/Roll_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Pitch_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Angle/Yaw_RF_Global(rad) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Vehicle(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Vehicle(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/X_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Y_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Velocity/Z_RF_Global(mm/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/X_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Y_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Angular_Velocity/Z_RF_Global(rad/sec) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Vehicle(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Vehicle(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/X_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Y_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Acceleration/Z_RF_Global(mm/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/X_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Y_RF_Global(rad/sec^2) , VMT_Front_Suspension/lower_control_arm:L/Angular_Acceleration/Z_RF_Global(rad/sec^2)
0 , 0.00146404697505837 , 0.00673279756218585 , -0.00380247472818233 , 0.000447003498382043 , -0.00400738963550568 , -0.00594348836354551 , 0.000813725259585886 , -0.00100222003750112 , 0.0013370120871063 , 0.000447003498382017 , -0.00400738963550573 , -0.0059434883635457 , -0.000451120915575366 , -0.00047958908793301 , -0.00060246815777037 , 0.000125368764120535 , 0.00116172982718128 , 0.00160597137040449 , -479.090462981652 , -325.979630912061 , -736.53164637593 , 295.216465998073 , -591.235745935967 , 126.841801010818 , -1.73737514347628 , -0.0434737621913004 , 2.77137041336126 , 295.216465998073 , -591.235745935967 , 126.841801010818 , -1.73737514347628 , -0.0434737621913004 , 2.77137041336126 , -8333.33333 , -4.9307082383263E-11 , 0 , -1.94709104335434E-14 , -4.96678163179144E-13 , 0 , -8333.33333 , -4.9307082383263E-11 , 0 , -1.94709104335434E-14 , -4.96678163179144E-13 , 0 , 279943.00082874 , 190479.547876966 , 420561.306081132 , 6415.39160183426 , -2328.67985872907 , 2051.38598137923 , 279943.00082874 , 190479.547876966 , 420561.306081132 , 6415.39160183426 , -2328.67985872907 , 2051.38598137923
0.01007 , -105.0787602238 , 3790.31326857833 , 2262.85588753261 , 44022.7427187339 , -6380.38599736899 , 14230.4044156048 , -263.358627311462 , 2629.47460882633 , 2047.7766670678 , 44022.742718734 , -6380.38599736901 , 14230.4044156049 , 693.615768149622 , 1967.14281985987 , 9386.45917675695 , -455.609480543005 , 725.553839040629 , -125.718535513745 , -918.355679878969 , 4343.83546392224 , -5108.84827509939 , 214.551727402683 , -593.33944962807 , 142.787301735021 , 0 , 0 , 0 , 214.551727402683 , -593.33944962807 , 142.787301735021 , 0 , 0 , 0 , -8478.0883335967 , -236.287980012634 , 2250.15646148961 , 13.1533849019103 , 1.24197900780805 , 3.41761885186599 , -8478.0883335967 , -236.287980012634 , 2250.15646148961 , 13.1533849019103 , 1.24197900780805 , 3.41761885186599 , -83965.1228382125 , 63579.3424048073 , 9488.64300990008 , -80.2441094540498 , 114.645636649905 , -18.7764776630573 , -83965.1228382125 , 63579.3424048073 , 9488.64300990008 , -80.2441094540498 , 114.645636649905 , -18.7764776630573
0.02027 , 1432.16191907092 , -1799.50125051577 , 2627.17424412315 , 33560.6920342157 , -4388.86998976892 , -5687.7098462882 , 2011.28788473873 , 2896.8656568592 , 2256.59818744521 , 33560.6920342156 , -4388.86998976908 , -5687.70984628813 , 1063.50880489234 , 2317.0679492278 , 11110.8061324891 , -1624.75075486004 , -3360.45954301506 , 879.318932058403 , 2161.49908653904 , -1206.61909840042 , -6053.75646831746 , 126.462906897216 , -592.688747350204 , 162.903751213314 , 0 , 0 , 0 , 126.462906897216 , -592.688747350204 , 162.903751213314 , 0 , 0 , 0 , -8250.60615310467 , 190.643397210585 , 1525.03551792922 , 7.36674483818017 , -0.849047182654307 , 1.90177177438257 , -8250.60615310467 , 190.643397210585 , 1525.03551792922 , 7.36674483818017 , -0.849047182654307 , 1.90177177438257 , 127639.543619801 , -7645.87181988683 , -111055.504306472 , -792.249673867202 , -299.543579857673 , -221.219962646068 , 127639.543619801 , -7645.87181988683 , -111055.504306472 , -792.249673867202 , -299.543579857673 , -221.219962646068
0.03027 , 613.285605738656 , -496.043926034786 , 2779.02263774511 , 19931.8233382221 , -1650.78028936325 , 8229.25237001628 , 803.80094658097 , 1012.04309279163 , 2529.11317449506 , 19931.8233382222 , -1650.78028936319 , 8229.25237001629 , 998.812923518014 , 2418.33416178606 , 11620.9887182059 , -1818.89553990917 , -2929.99330657646 , 762.990366605408 , 522.435565459687 , -1872.1341520538 , -6200.92870621648 , 44.8073918379586 , -591.541845164568 , 174.378383215752 , 0 , 0 , 0 , 44.8073918379586 , -591.541845164568 , 174.378383215752 , 0 , 0 , 0 , -8466.67876063579 , 28.4771408879331 , 829.44000564909 , 1.98480286472879 , 0.577024869032781 , 0.333605248162755 , -8466.67876063579 , 28.4771408879331 , 829.44000564909 , 1.98480286472879 , 0.577024869032781 , 0.333605248162755 , -60863.7245397758 , -17647.1538228997 , -75206.0358666169 , -586.369858996158 , 98.002046977546 , -165.223035774756 , -60863.7245397758 , -17647.1538228997 , -75206.0358666169 , -586.369858996158 , 98.002046977546 , -165.223035774756
0.04027 , 38.8105144933397 , 951.850279283138 , 2061.82958320233 , 2622.00632086349 , -648.718675083542 , -3797.61545543034 , -34.1685389610353 , 371.083358139835 , 2048.68760223176 , 2622.00632086354 , -648.718675083498 , -3797.61545543034 , 820.399635455019 , 1920.44863134482 , 9021.28545884058 , -1772.19954658722 , -3227.64552034903 , 839.458447918469 , -783.664634701162 , -678.609642452994 , -4828.72816882281 , -39.150616556318 , -591.810656126879 , 178.670407224158 , 0 , 0 , 0 , -39.150616556318 , -591.810656126879 , 178.670407224158 , 0 , 0 , 0 , -8263.41826760554 , -18.9679205461409 , 89.7582813680004 , -3.57436112406256 , -0.304388613206032 , -1.24856972652366 , -8263.41826760554 , -18.9679205461409 , 89.7582813680004 , -3.57436112406256 , -0.304388613206032 , -1.24856972652366 , -18752.7414900254 , 47383.9238844941 , -57744.0420154983 , -402.102210256546 , 109.110830766238 , -117.359640565654 , -18752.7414900254 , 47383.9238844941 , -57744.0420154983 , -402.102210256546 , 109.110830766238 , -117.359640565654
0.05027 , 437.64520922449 , 819.645565469925 , 1425.55477832396 , -11985.4838444727 , 1587.72705666318 , 1650.52573631741 , 587.022433578474 , 2006.92898398623 , 1367.15090513223 , -11985.4838444728 , 1587.72705666327 , 1650.5257363174 , 570.165076689904 , 1289.0394709607 , 6094.38669013777 , -1318.6563032488 , -2452.8081432179 , 657.697487296269 , 436.534801334947 , 1525.17482379423 , -3234.08171794381 , -122.784911373182 , -592.307070342031 , 176.797741389002 , 0 , 0 , 0 , -122.784911373182 , -592.307070342031 , 176.797741389002 , 0 , 0 , 0 , -8407.46846746139 , -61.3536032978347 , -459.598382850961 , -7.38095467220429 , 0.0746364547989138 , -2.34204754398437 , -8407.46846746139 , -61.3536032978347 , -459.598382850961 , -7.38095467220429 , 0.0746364547989138 , -2.34204754398437 , 10498.8859648344 , 7222.29686060128 , -49306.127658406 , -304.467591518665 , -42.3502777661082 , -87.3181792704826 , 10498.8859648344 , 7222.29686060128 , -49306.127658406 , -304.467591518665 , -42.3502777661082 , -87.3181792704826
0.06027 , 417.569492013298 , 541.900266274151 , 930.263772879522 , -20744.6817763284 , 2479.17210953939 , 2392.96882355784 , 587.375708896197 , 1891.71633969642 , 1010.44559510165 , -20744.6817763283 , 2479.17210953944 , 2392.96882355779 , 334.362259922954 , 774.549838050429 , 3688.38643731674 , -685.303709458956 , -1428.16351084774 , 368.850997356472 , 694.446716735531 , 1630.91627268209 , -1787.0759149052 , -206.613631268733 , -591.940730329746 , 170.439838536429 , 0 , 0 , 0 , -206.613631268733 , -591.940730329746 , 170.439838536429 , 0 , 0 , 0 , -8421.55137210981 , 140.503886413897 , -708.046285210773 , -8.69439765443279 , 0.17351743784505 , -2.71513178797281 , -8421.55137210981 , 140.503886413897 , -708.046285210773 , -8.69439765443279 , 0.17351743784505 , -2.71513178797281 , -13944.0501825165 , 16448.8655196968 , 13214.8928786553 , 112.04946498325 , 32.8176785424998 , 29.1716018052942 , -13944.0501825165 , 16448.8655196968 , 13214.8928786553 , 112.04946498325 , 32.8176785424998 , 29.1716018052942
0.07027 , 721.49282400868 , -326.488022922468 , 722.628110990818 , -11670.1068226487 , 1309.05107517691 , 1563.07464750029 , 1046.67264830403 , 2243.47016873822 , 1049.15497952652 , -11670.1068226487 , 1309.05107517692 , 1563.07464750015 , 307.713546331345 , 641.527922411623 , 3143.24099955982 , -233.407192217654 , -966.070032734997 , 230.750832119074 , 1431.38998421474 , 1277.2277447066 , -1548.56667987716 , -291.196738601082 , -590.144356337107 , 166.067971804548 , 0 , 0 , 0 , -291.196738601082 , -590.144356337107 , 166.067971804548 , 0 , 0 , 0 , -8438.85770334055 , 198.222658199707 , -40.0523970370655 , -4.29140357154319 , 0.0569704188804684 , -1.54807155714539 , -8438.85770334055 , 198.222658199707 , -40.0523970370655 , -4.29140357154319 , 0.0569704188804684 , -1.54807155714539 , 16981.4294609034 , -1036.30924810802 , 93681.275243948 , 600.827981757223 , -57.6508753716847 , 160.573900774158 , 16981.4294609034 , -1036.30924810802 , 93681.275243948 , 600.827981757223 , -57.6508753716847 , 160.573900774158
0.08027 , -141.44372363145 , 1213.98345984774 , 1217.6986432756 , 4935.11625958691 , -188.803403862851 , -2474.8098127135 , -267.528099669248 , 229.220374821869 , 1014.66972374078 , 4935.11625958686 , -188.803403862888 , -2474.80981271355 , 465.649376110411 , 941.731549004244 , 4652.66184324823 , -108.548356912819 , -517.183821370037 , 114.863622790039 , -872.889734417964 , 529.461645913494 , -2560.70338217824 , -374.906746306825 , -588.750202734449 , 170.40783648149 , 0 , 0 , 0 , -374.906746306825 , -588.750202734449 , 170.40783648149 , 0 , 0 , 0 , -8341.76845668129 , 58.6195567993057 , 873.619794352946 , 1.57008186838882 , -0.0270622957875771 , 0.0358040447264548 , -8341.76845668129 , 58.6195567993057 , 873.619794352946 , 1.57008186838882 , -0.0270622957875771 , 0.0358040447264548 , -1011.7492398917 , -16354.932825504 , 72237.4641253753 , 466.105943217794 , 27.4934286633901 , 127.2863192596 , -1011.7492398917 , -16354.932825504 , 72237.4641253753 , 466.105943217794 , 27.4934286633901 , 127.2863192596
0.0902700000000001 , 151.699051731277 , 1310.98723895757 , 1695.6904019688 , 10886.6869102738 , -1415.01803940872 , 784.347853608431 , 137.488399102762 , 1207.83614498977 , 1598.44178206264 , 10886.6869102738 , -1415.0180394087 , 784.347853608374 , 737.181941271931 , 1454.90568961103 , 7007.40188195318 , -249.632713474336 , -414.019698088139 , 111.738816456795 , -442.826364898312 , 1060.86210902883 , -3716.18140268302 , -458.548323392111 , -588.622827854154 , 181.064891667935 , 0 , 0 , 0 , -458.548323392111 , -588.622827854154 , 181.064891667935 , 0 , 0 , 0 , -8387.27039237989 , -2.15887885208663 , 1129.79302067482 , 3.11184738660679 , 0.165547052252016 , 0.472581657078474 , -8387.27039237989 , -2.15887885208663 , 1129.79302067482 , 3.11184738660679 , 0.165547052252016 , 0.472581657078474 , -3019.82645709629 , 1785.45156871812 , -8105.27504539589 , -70.3554180252745 , 1.72509896966451 , -16.6314885757539 , -3019.82645709629 , 1785.45156871812 , -8105.27504539589 , -70.3554180252745 , 1.72509896966451 , -16.6314885757539
