time(sec) , VMT_Front_Tires/wheel_force:L/Tire Force/Longitudinal_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Force/Lateral_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Force/Vertical_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Torque/Overturning_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Torque/Rolling resistance_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Torque/Aligning_RF_Global , VMT_Front_Tires/wheel_force:L/Tire Force/Longitudinal_RF_Vehicle , VMT_Front_Tires/wheel_force:L/Tire Force/Lateral_RF_Vehicle , VMT_Front_Tires/wheel_force:L/Tire Force/Vertical_RF_Vehicle , VMT_Front_Tires/wheel_force:L/Tire Torque/Overturning_RF_Vehicle , VMT_Front_Tires/wheel_force:L/Tire Torque/Rolling resistance_RF_Vehicle , VMT_Front_Tires/wheel_force:L/Tire Torque/Aligning_RF_Vehicle
0.000000 , -2.822898e+004 , -6.882174e+002 , 4.266040e+004 , 6.759901e+004 , -5.336960e+005 , 1.732125e+005 , -2.822898e+004 , -6.882174e+002 , 4.266040e+004 , 6.759901e+004 , -5.336960e+005 , 1.732125e+005
0.010000 , 4.192452e+003 , -1.056214e+003 , 6.555730e+003 , -8.021772e+004 , -8.329202e+005 , -4.328305e+004 , 4.195101e+003 , -1.055588e+003 , 6.554057e+003 , -8.021135e+004 , -8.329263e+005 , -4.318499e+004
0.020000 , -1.888137e+003 , 5.776159e+002 , -5.026560e+002 , -2.073796e+005 , -4.872550e+004 , -2.043651e+005 , -1.888195e+003 , 5.778127e+002 , -5.019806e+002 , -2.074338e+005 , -4.866156e+004 , -2.043125e+005
0.030000 , 3.474293e+003 , -1.290725e+003 , 1.483852e+003 , 3.004353e+005 , 9.704428e+005 , 3.020472e+005 , 3.472858e+003 , -1.292057e+003 , 1.486339e+003 , 2.998994e+005 , 9.700842e+005 , 3.037125e+005
0.040000 , -1.571175e+003 , -5.107813e+002 , 1.456137e+003 , 3.246420e+005 , -6.421129e+005 , -2.946200e+005 , -1.576822e+003 , -5.153480e+002 , 1.448999e+003 , 3.258629e+005 , -6.411938e+005 , -2.952925e+005
0.050000 , -5.203121e+001 , 6.177892e+002 , 7.449921e+002 , -2.464508e+005 , -3.423791e+004 , 2.988248e+005 , -5.721147e+001 , 6.146003e+002 , 7.476857e+002 , -2.486269e+005 , -3.567136e+004 , 2.969038e+005
0.060000 , 2.495671e+003 , 5.079667e+002 , 3.142573e+003 , -3.533463e+004 , 3.677292e+005 , -2.486191e+004 , 2.458605e+003 , 4.927741e+002 , 3.174160e+003 , -3.533050e+004 , 3.677888e+005 , -2.328737e+004
0.070000 , 1.866214e+003 , 1.962009e+003 , 7.244490e+003 , -3.310851e+005 , 2.472096e+005 , 7.044639e+004 , 1.749109e+003 , 1.924749e+003 , 7.283415e+003 , -3.324363e+005 , 2.464692e+005 , 6.647637e+004
0.080000 , -1.586436e+003 , 7.609366e+002 , 7.245932e+003 , 2.022025e+005 , -2.179398e+005 , -1.567405e+005 , -1.730382e+003 , 7.235678e+002 , 7.216973e+003 , 2.056754e+005 , -2.167981e+005 , -1.537453e+005
0.090000 , -7.227692e+002 , 1.190666e+003 , 3.519660e+003 , 2.503261e+002 , -7.253679e+004 , -2.823274e+004 , -8.070573e+002 , 1.173304e+003 , 3.507058e+003 , 1.083956e+003 , -7.240873e+004 , -2.853641e+004
