time(sec) , VMT_Front_Tires/wheel_force:L/Tire Force/Longitudinal_RF_Global(N) , VMT_Front_Tires/wheel_force:L/Tire Force/Lateral_RF_Global(N) , VMT_Front_Tires/wheel_force:L/Tire Force/Vertical_RF_Global(N) , VMT_Front_Tires/wheel_force:L/Tire Torque/Overturning_RF_Global(N*mm) , VMT_Front_Tires/wheel_force:L/Tire Torque/Rolling resistance_RF_Global(N*mm) , VMT_Front_Tires/wheel_force:L/Tire Torque/Aligning_RF_Global(N*mm) , VMT_Front_Tires/wheel_force:L/Tire Force/Longitudinal_RF_Vehicle(N) , VMT_Front_Tires/wheel_force:L/Tire Force/Lateral_RF_Vehicle(N) , VMT_Front_Tires/wheel_force:L/Tire Force/Vertical_RF_Vehicle(N) , VMT_Front_Tires/wheel_force:L/Tire Torque/Overturning_RF_Vehicle(N*mm) , VMT_Front_Tires/wheel_force:L/Tire Torque/Rolling resistance_RF_Vehicle(N*mm) , VMT_Front_Tires/wheel_force:L/Tire Torque/Aligning_RF_Vehicle(N*mm)
0.00000000 , -2.82289752e+004 , -6.88217352e+002 , 4.26603952e+004 , 6.75990059e+004 , -5.33696006e+005 , 1.73212529e+005 , -2.82289752e+004 , -6.88217352e+002 , 4.26603952e+004 , 6.75990059e+004 , -5.33696006e+005 , 1.73212529e+005
0.01000000 , 4.19245203e+003 , -1.05621420e+003 , 6.55572974e+003 , -8.02177200e+004 , -8.32920196e+005 , -4.32830482e+004 , 4.19510110e+003 , -1.05558789e+003 , 6.55405713e+003 , -8.02113537e+004 , -8.32926278e+005 , -4.31849891e+004
0.02000000 , -1.88813673e+003 , 5.77615937e+002 , -5.02656034e+002 , -2.07379568e+005 , -4.87255021e+004 , -2.04365127e+005 , -1.88819454e+003 , 5.77812673e+002 , -5.01980571e+002 , -2.07433791e+005 , -4.86615620e+004 , -2.04312498e+005
0.03000000 , 3.47429300e+003 , -1.29072546e+003 , 1.48385192e+003 , 3.00435272e+005 , 9.70442818e+005 , 3.02047248e+005 , 3.47285800e+003 , -1.29205737e+003 , 1.48633909e+003 , 2.99899444e+005 , 9.70084198e+005 , 3.03712457e+005
0.04000000 , -1.57117479e+003 , -5.10781326e+002 , 1.45613679e+003 , 3.24642008e+005 , -6.42112889e+005 , -2.94619986e+005 , -1.57682175e+003 , -5.15348003e+002 , 1.44899883e+003 , 3.25862855e+005 , -6.41193782e+005 , -2.95292529e+005
0.05000000 , -5.20312121e+001 , 6.17789232e+002 , 7.44992095e+002 , -2.46450845e+005 , -3.42379069e+004 , 2.98824787e+005 , -5.72114737e+001 , 6.14600321e+002 , 7.47685714e+002 , -2.48626915e+005 , -3.56713601e+004 , 2.96903774e+005
0.06000000 , 2.49567103e+003 , 5.07966668e+002 , 3.14257275e+003 , -3.53346253e+004 , 3.67729163e+005 , -2.48619137e+004 , 2.45860469e+003 , 4.92774077e+002 , 3.17415967e+003 , -3.53304968e+004 , 3.67788759e+005 , -2.32873691e+004
0.07000000 , 1.86621353e+003 , 1.96200864e+003 , 7.24448954e+003 , -3.31085090e+005 , 2.47209620e+005 , 7.04463864e+004 , 1.74910908e+003 , 1.92474868e+003 , 7.28341518e+003 , -3.32436320e+005 , 2.46469163e+005 , 6.64763717e+004
0.08000000 , -1.58643568e+003 , 7.60936596e+002 , 7.24593176e+003 , 2.02202511e+005 , -2.17939814e+005 , -1.56740456e+005 , -1.73038212e+003 , 7.23567802e+002 , 7.21697274e+003 , 2.05675401e+005 , -2.16798072e+005 , -1.53745256e+005
0.09000000 , -7.22769182e+002 , 1.19066612e+003 , 3.51966034e+003 , 2.50326149e+002 , -7.25367881e+004 , -2.82327429e+004 , -8.07057301e+002 , 1.17330373e+003 , 3.50705772e+003 , 1.08395551e+003 , -7.24087327e+004 , -2.85364086e+004
0.10000000 , 5.56075638e+002 , 5.26982897e+002 , 8.78176470e+002 , -4.95916734e+004 , 1.13044566e+005 , 6.13505568e+004 , 5.30204091e+002 , 5.24185590e+002 , 8.94588294e+002 , -5.15006116e+004 , 1.12659222e+005 , 6.06229728e+004
0.11000000 , -1.71399006e+002 , -4.95725025e+002 , 6.95463124e+002 , 1.19744934e+005 , -7.52885802e+004 , 2.07702489e+004 , -1.90566392e+002 , -5.00369884e+002 , 6.87253896e+002 , 1.19315319e+005 , -7.50504424e+004 , 2.39881669e+004
0.12000000 , -1.61220190e+002 , 1.92647924e+002 , 4.67483825e+002 , -7.61693564e+004 , -5.58671076e+004 , 3.20964613e+004 , -1.76215403e+002 , 1.89032150e+002 , 4.63308745e+002 , -7.69977565e+004 , -5.63060561e+004 , 2.92436501e+004
0.13000000 , 6.68266509e+001 , 3.85221014e+002 , 3.59040966e+002 , -1.57642958e+005 , 1.16380364e+004 , 2.11470413e+004 , 5.34538947e+001 , 3.83220721e+002 , 3.63794641e+002 , -1.58328164e+005 , 1.09722763e+004 , 1.55197712e+004
0.14000000 , 2.56945481e+002 , 4.10418929e+002 , 3.82042152e+003 , 7.44924655e+000 , 3.00035476e+004 , -2.39759018e+004 , 1.18335422e+002 , 3.82122252e+002 , 3.83083189e+003 , 8.06389530e+002 , 3.01728198e+004 , -2.38190650e+004
0.15000000 , -3.61101122e+002 , 2.72131811e+001 , 5.13367382e+003 , -1.63501700e+005 , -5.59181349e+004 , -8.80213485e+004 , -5.52291728e+002 , -1.32997989e+001 , 5.11727476e+003 , -1.59771181e+005 , -5.58704170e+004 , -9.46613897e+004
0.16000000 , -3.29417844e+002 , -7.90404031e+002 , 3.45596941e+003 , 1.85977155e+004 , -3.10391768e+004 , -6.04286188e+004 , -4.55832056e+002 , -8.16351604e+002 , 3.43535284e+003 , 2.10676204e+004 , -3.05393569e+004 , -6.00172325e+004
0.17000000 , 4.28255711e+002 , -5.08472656e+002 , 1.01702587e+003 , 2.66994895e+004 , 6.33419537e+004 , 4.81924145e+004 , 3.92517370e+002 , -5.13427080e+002 , 1.03036126e+003 , 2.45606609e+004 , 6.31208218e+004 , 4.94381028e+004
0.18000000 , -1.62053703e+002 , 3.69257771e+002 , 5.50077871e+002 , -4.92948287e+004 , -4.03749481e+004 , 1.30612134e+004 , -1.83272808e+002 , 3.64803414e+002 , 5.46229788e+002 , -4.95887426e+004 , -4.06844762e+004 , 1.09652525e+004
0.19000000 , 2.24452393e+001 , 1.71741151e+002 , 4.91006213e+002 , -1.21436120e+005 , 2.35233412e+003 , 4.33380961e+004 , 4.63392360e+000 , 1.69068658e+002 , 4.92046890e+002 , -1.22815143e+005 , 1.54899570e+003 , 3.86470299e+004
0.20000000 , 2.19647965e+002 , -1.17337357e+002 , 1.86833610e+003 , -1.35006868e+004 , 3.32700303e+004 , 1.23973758e+004 , 1.55847877e+002 , -1.26709902e+002 , 1.87453996e+003 , -1.40591915e+004 , 3.31321672e+004 , 1.21836644e+004
0.21000000 , 2.56175681e+002 , 2.02780767e+001 , 2.43428040e+003 , -1.77439016e+005 , 5.68700207e+004 , -1.81017978e+004 , 1.74924283e+002 , 8.23726725e+000 , 2.44150383e+003 , -1.76970469e+005 , 5.62577625e+004 , -2.35748575e+004
0.22000000 , -1.40346001e+002 , -6.28241304e+002 , 3.06287343e+003 , -3.40510119e+004 , 5.30546360e+003 , -3.73575031e+004 , -2.30732067e+002 , -6.45638037e+002 , 3.05306748e+003 , -3.29249803e+004 , 5.36339874e+003 , -3.84591257e+004
0.23000000 , 6.06144178e+001 , -7.22262580e+002 , 2.01007858e+003 , -2.87682945e+004 , 7.03480175e+003 , -8.67305301e+002 , 1.02566294e+001 , -7.33069742e+002 , 2.00706689e+003 , -2.87556629e+004 , 6.92805198e+003 , -1.60042624e+003
